id,query,CuisinePreference,DietaryNeedsOrRestrictions,MealType,is_realistic_and_kept,notes_for_filtering
2b79ff2e-e4cd-4754-8065-7cf0c72a9fca,any thai snack recipes?,Thai,nan,Snack,1,
f68a0a3e-0ced-4932-ae9d-cdfa99d2643c,vegan mexican breakfast ideas pls!,Mexican,Vegan,Breakfast,1,
0ad93f88-43dd-4a94-b80e-118deb61a1f4,need a quick vegan lunch recipe mexican style,Mexican,Vegan,Lunch,1,
9ad4c962-e345-450a-b01f-fe4bab7bdb16,what's a good vegan dinner from mexico?,Mexican,Vegan,Dinner,1,
5ca47b8e-2b09-4aee-afe9-b665019984b0,easy vegan snacks mexican food?,Mexican,Vegan,Snack,1,
306f2d57-022b-4ab4-afaa-56245003cca8,gluten-free mexican breakfast recipes?,Mexican,Gluten-free,Breakfast,1,
cd4057e0-f011-46bd-950f-4e681c254aec,need gluten free lunch ideas mexican!,Mexican,Gluten-free,Lunch,1,
a162af7e-540f-4246-9a86-97bcbee724b3,looking for gluten-free mexican dinner recipes,Mexican,Gluten-free,Dinner,1,
b247319c-4614-44c3-a2a1-0427678b737a,any gluten free snack ideas mexican?,Mexican,Gluten-free,Snack,1,
d16cc60e-b352-4665-ab42-0ecd33753c9c,keto mexican breakfast recipes plz!,Mexican,Keto,Breakfast,1,
447a5728-d95d-4ef4-99c8-cb4c00160de0,need a quick keto lunch recipe mexican style,Mexican,Keto,Lunch,1,
1ac8ffe9-d096-4d15-b352-010b101f9cb1,what's a good keto dinner from mexico?,Mexican,Keto,Dinner,1,
89c99481-3787-4902-9702-f7d22a66ef15,easy keto snacks mexican food?,Mexican,Keto,Snack,1,
aca8abe2-4e0e-40b1-8bf3-fe9a2266d14b,mexican breakfast ideas?,Mexican,nan,Breakfast,1,
1d79477d-3ba2-4fe1-9260-3f85533a21df,looking for lunch recipes mexican!,Mexican,nan,Lunch,1,
7dee9eb9-9eb4-41f3-9e57-2f9da067daa4,need dinner ideas mexican cuisine,Mexican,nan,Dinner,1,
39937c03-54a2-4599-8036-cecf7199088a,any good mexican snack recipes?,Mexican,nan,Snack,1,
9afa7ced-0af7-4ee6-8136-66fb791f8b02,Can I get a vegan italian breakfast recipe?,Italian,Vegan,Breakfast,1,
eff867f3-70ec-49f3-a64a-b7ca12839bd5,looking for a quick vegan lunch recipe italian style,Italian,Vegan,Lunch,1,
6728e9b0-7d31-4c86-9d83-a4745c1b12a7,need a simple vegan dinner recipe from Italy,Italian,Vegan,Dinner,1,
ef1ec588-01be-4878-9c18-33d98a5baca2,what's a good italian vegan snack?,Italian,Vegan,Snack,1,
048e4d5b-bc28-4fb8-ba8a-926a6968561b,gluten free italian breakfast ideas pls,Italian,Gluten-free,Breakfast,1,
bf09f371-e675-4b3a-9722-0b82da1295c5,need a gluten-free italian lunch recipe,Italian,Gluten-free,Lunch,1,
e92cee26-09a9-4f73-b3dc-18a19075f143,easy gluten free dinner recipe italian cuisine,Italian,Gluten-free,Dinner,1,
f3421fb5-2736-4001-bdaf-6aab11e3b673,whats a good italian gluten free snack?,Italian,Gluten-free,Snack,1,
5633f57c-3be9-412d-9deb-9d9ce327ed6c,keto italian breakfast ideas needed!,Italian,Keto,Breakfast,1,
273b8884-512b-432d-a797-cc6bf6653211,looking for a keto italian lunch recipe,Italian,Keto,Lunch,1,
07d9f2ce-954d-41f5-9443-274612d9d324,need a simple keto dinner recipe italian,Italian,Keto,Dinner,1,
53f69845-11ab-4975-b0ab-c944e2f0b8eb,what's a good keto snack from italy?,Italian,Keto,Snack,1,
06b6ae4b-c068-4695-b7db-9c44d8f61e74,any italian breakfast ideas?,Italian,nan,Breakfast,1,
70472bbb-885f-40ce-add1-745d68887cf5,need a lunch recipe italian style,Italian,nan,Lunch,1,
7b25d5f1-f4aa-4b2f-9a2b-ea327c24f825,whats a good italian dinner recipe?,Italian,nan,Dinner,1,
b1ba1ad8-1921-410b-91af-7dffe90cb1f9,looking for a snack recipe italian,Italian,nan,Snack,1,
547f36af-b13d-487d-ab18-a8043644a11a,need a vegan korean breakfast recipe!,Korean,Vegan,Breakfast,1,
fd2c8d33-36c9-48cc-b399-ba4fedf81d2c,keto japanese lunch ideas plz!,Japanese,Keto,Lunch,1,
f525bf1c-7ea4-4026-84ef-0b5b29094537,any chinese snack recipes?,Chinese,nan,Snack,1,
6bc90b66-e9be-40bf-b49c-8d745f85276f,need a gluten free italian dinner recipe,Italian,Gluten-free,Dinner,1,
